PTN_NO,PRODUCT_ID,URL
17090,Short Sleeve Toddler T-Shirts,+short-sleeve-toddler-t-shirts
17115,Shot Glasses,+shot-glasses
17167,Shower Curtains,+shower-curtains
19820,Sigma Alpha Epsilon Fraternity,+sigma-alpha-epsilon-fraternity
19866,Sigma Alpha Iota Sorority,+sigma-alpha-iota-sorority
19817,Sigma Alpha Mu Fraternity,+sigma-alpha-mu-fraternity
20181,Sigma Beta Rho Fraternity,+sigma-beta-rho-fraternity
20178,Sigma Chi Fraternity,+sigma-chi-fraternity
20175,Sigma Delta Tau Sorority,+sigma-delta-tau-sorority
19967,Sigma Kappa Sorority,+sigma-kappa-sorority
20015,Sigma Lambda Beta Fraternity,+sigma-lambda-beta-fraternity
20012,Sigma Nu Fraternity,+sigma-nu-fraternity
20290,Sigma Phi Epsilon Fraternity,+sigma-phi-epsilon-fraternity
19814,Sigma Pi Fraternity,+sigma-pi-fraternity
20287,Sigma Sigma Sigma Sorority,+sigma-sigma-sigma-sorority
17279,Signs,+signs
17289,Single Greeting Card,+single-greeting-card
20378,Single Stickers,+single-stickers
17095,Sippy Cups,+sippy-cups
18954,sister,+sister
18931,skeleton,+skeleton
17818,"",+skylines-canvasprints
17214,Sled Baubles,+sled-ornaments
17151,Small Area Rugs,+small-area-rugs
17273,Small Die Cut Stickers,+small-die-cut-stickers
17183,Small Doormats,+small-doormats
17184,Small Doormats With Holder,+small-doormats-with-holder
17244,Small Posters,+small-posters
17363,Small Jigsaw Puzzles,+small-puzzles
17934,snacking,+snacking
19687,PEANUTS<sup>®</sup> Snoopy,+snoopy
17215,Snowflake Baubles,+snowflake-ornaments
19446,snowman,+snowman
18461,soccer,+soccer
18837,social distancing,+social-distancing
18722,social justice,+social-justice
19122,softball mom,+softball-mom
17298,Softcover Journals,+softcover-journals
18342,son,+son
19214,son in law funny,+son-in-law-funny
19995,Sorority,+sorority
19059,space,+space
17216,Sparkle Light Baubles,+sparkle-light-ornaments
19554,special delivery,+special-delivery
19406,"",+sports
19410,sporty dad,+sporty-dad
18703,sporty mom,+sporty-mom
18732,spring,+spring
17963,spring break,+spring-break
17262,Square Car Magnets,+square-car-magnets
17350,Square Jewelry Boxes,+square-jewelry-boxes
17217,Square Baubles,+square-ornaments
17146,Square Scarves,+square-scarves
17278,Square Stickers,+square-stickers
20273,"",+st-patricks-day
19178,st patricks day vintage,+st-patricks-day-vintage
17104,Travel Coffee Mugs,+stainless-steel-travel-mugs
17135,Standard Buttons,+standard-buttons
17098,Standard Mugs,+standard-mugs
17228,Standard Wall Clocks,+standard-wall-clocks
17285,Stationery,+stationery
19360,step dad,+step-dad
18229,stepmum,+stepmum
17272,Stickers,+stickers
17271,Stickers & Signs,+stickers-and-signs
17224,Stockings,+stockings
17119,Stone Coasters,+stone-coasters
17930,stop trump,+stop-trump
17111,Straw Tumblers,+straw-tumblers
19174,sugar skull,+sugar-skull
19503,summer,+summer
19426,"",+summer-essentials
19317,summer fun,+summer-fun
19517,summer grilling,+summer-grilling
18259,summer sports,+summer-sports
19415,summer time,+summer-time
18279,support education,+support-education
18729,support our troops,+support-our-troops
18675,supreme court,+supreme-court
19476,surfing,+surfing
20172,"",+surgical-mask
19971,"",+sweatshirts-hoodies
20381,Sweatshirts & Hoodies,+sweatshirts-hoodies
20284,"",+t-shirts
20382,T-Shirts,+t-shirts
19096,taco,+taco
17246,Tapestries,+tapestries
19811,Tau Beta Sigma Sorority,+tau-beta-sigma-sorority
18118,tax humor,+tax-humor
17194,Tea Towels,+tea-towels
19259,Teacher,+teacher
18567,tennis,+tennis
18628,tequila,+tequila
19726,"",+test
18413,thank you,+thank-you
19295,thanksgiving,+thanksgiving
20078,The Honeymooners TV,+the-honeymooners-tv
18494,The Middle Class,+the-middle-class
20263,The 4400 TV Show,+the4400tv
20053,The Borgias TV Show,+theborgiastv
20124,The Goldbergs TV Show,+thegoldbergstv
19863,The Newsroom TV Show,+thenewsroomtv
20057,The Sopranos TV Show,+thesopranostv
20280,Theta Chi Fraternity,+theta-chi-fraternity
19772,Theta Tau Fraternity,+theta-tau-fraternity
19855,The Wire TV Show,+thewiretv
17068,Thong Panties,+thongs
17221,Throw Cushion With Zipper,+throw-cushion-with-zipper
17220,Throw Cushions,+throw-cushions
17089,Toddler T-Shirts,+toddler-t-shirts
19998,Tonka,+tonka
17123,Canvas Tote Bags,+tote-bags
19859,Touched By An Angel TV Show,+touchedbyanangeltv
17360,Toys & Games,+toys-and-games
20120,Toy Story Movie,+toystory
19745,Transformers TV Show,+transformers
19707,Transformers Movie ,+transformersriseofthebeasts
19222,travel,+travel
17225,Tree Skirts,+tree-skirts
19729,Triangle Fraternity,+triangle-fraternity
19109,trick or treat,+trick-or-treat
18996,tropical,+tropical
17142,Trucker Caps,+trucker-hats
19733,True Blood TV Show,+truebloodtv
19575,Donald Trump,+trump
18699,trump coronavirus,+trump-coronavirus
17829,Trump Mugshot,+trump-mugshot
19737,TV City TV Show,+tvcity
17158,Twin Comforters,+twin-comforters
17162,Twin Duvet Covers,+twin-duvet-covers
17159,Twin XL Comforters,+twin-xl-comforters
19743,Twister,+twister
18311,two dads,+two-dads
18122,two moms,+two-moms
19902,"",+ugly-christmas-sweater
